T00	T01	T02	T03	T10	T11	T12	T13	T20	T21	T22	T23	T30	T31	T32	T33
0.998363	0.0567827	-0.00689466	0.00108919	-0.0566452	0.998219	0.0187241	-0.0257778	0.00794558	-0.0183029	0.999801	-0.0204531	0	0	0	1
0.998335	0.0572371	-0.00717253	0.0014113	-0.0570953	0.998195	0.0186264	-0.0257693	0.00822571	-0.0181859	0.999801	-0.0212491	0	0	0	1
0.99833	0.0573028	-0.00726039	0.00156063	-0.0571569	0.998186	0.0189179	-0.0260016	0.00833126	-0.0184713	0.999795	-0.0217823	0	0	0	1
0.998298	0.0578404	-0.00749181	0.00178312	-0.0576809	0.998135	0.0199991	-0.0268973	0.0086346	-0.019533	0.999772	-0.0224969	0	0	0	1
0.998265	0.0584052	-0.00749832	0.00159706	-0.0582459	0.998103	0.0199534	-0.0272836	0.00864948	-0.0194821	0.999773	-0.0231418	0	0	0	1
0.998258	0.0585332	-0.0074377	0.00145181	-0.0583704	0.998085	0.0204881	-0.0281082	0.00862269	-0.0200183	0.999762	-0.0237941	0	0	0	1
0.998197	0.0595326	-0.00767585	0.00152704	-0.0593654	0.998027	0.0204283	-0.0285115	0.00887686	-0.0199358	0.999762	-0.0239821	0	0	0	1
0.998143	0.0604131	-0.00776023	0.00165684	-0.0602428	0.997972	0.0205747	-0.0287878	0.00898747	-0.020069	0.999758	-0.0235972	0	0	0	1
0.998094	0.0612416	-0.00766922	0.00187511	-0.0610709	0.997917	0.0207974	-0.0290521	0.00892691	-0.0202894	0.999754	-0.0224185	0	0	0	1
0.998073	0.0615569	-0.00777445	0.00200642	-0.0613856	0.997901	0.0206244	-0.0287139	0.0090277	-0.0201075	0.999757	-0.0221159	0	0	0	1
0.998142	0.0604395	-0.00773016	0.00223541	-0.0602735	0.997979	0.0201459	-0.0280894	0.00893214	-0.0196426	0.999767	-0.0212144	0	0	0	1
0.998126	0.0607029	-0.00769104	0.0019805	-0.0605405	0.997969	0.0198365	-0.0278306	0.00887955	-0.0193337	0.999774	-0.0218155	0	0	0	1
0.998076	0.0615017	-0.00781854	0.00181324	-0.0613359	0.997918	0.0199238	-0.0280465	0.00902762	-0.0194059	0.999771	-0.0229044	0	0	0	1
0.998106	0.0610519	-0.00757001	0.00164396	-0.0608851	0.997932	0.0205863	-0.0287593	0.00881119	-0.0200864	0.999759	-0.0235135	0	0	0	1
0.998105	0.0610947	-0.00737854	0.0017733	-0.0609299	0.997925	0.02081	-0.0290768	0.00863461	-0.0203209	0.999756	-0.0233057	0	0	0	1
0.998093	0.0613215	-0.00708504	0.00165528	-0.0611614	0.997908	0.0209571	-0.0293995	0.00835534	-0.0204838	0.999755	-0.0226698	0	0	0	1
0.997987	0.063011	-0.00713194	0.00161225	-0.0628521	0.997809	0.0206549	-0.0293033	0.0084178	-0.0201651	0.999761	-0.0231855	0	0	0	1
0.997867	0.0648296	-0.00766957	0.00175844	-0.0646593	0.997693	0.0206844	-0.0293781	0.00899284	-0.0201444	0.999757	-0.0232327	0	0	0	1
0.997752	0.0665803	-0.00766101	0.00171848	-0.0664132	0.997585	0.0203203	-0.0290866	0.00899544	-0.0197658	0.999764	-0.0244131	0	0	0	1
0.99775	0.0665896	-0.00784557	0.00183121	-0.0664172	0.997582	0.020489	-0.0292099	0.00919095	-0.0199218	0.999759	-0.024788	0	0	0	1
0.997713	0.0671508	-0.00767351	0.00169653	-0.0669815	0.997543	0.0205322	-0.0295389	0.00903341	-0.0199713	0.99976	-0.0244868	0	0	0	1
