x	y	theta
-0.0521446	0.000656292	0.0136229
-0.0525787	0.000768136	0.0137884
-0.0524414	0.000884804	0.0138995
-0.0526809	0.000972104	0.0139986
-0.0529852	0.000999405	0.0141052
-0.0531024	0.00106953	0.0141866
-0.0530436	0.00100067	0.0143766
-0.0530619	0.000750658	0.0145404
-0.0533298	0.000724059	0.0145037
-0.0528513	0.000313261	0.0147193
-0.052814	-5.03167e-05	0.0150212
-0.0529393	-0.000347987	0.0150873
-0.053875	-0.000157599	0.0149444
-0.0544232	-9.61174e-05	0.0149322
-0.0545404	-3.27171e-05	0.0149038
-0.0547713	0.000175689	0.0145857
-0.0558421	0.000213083	0.0147833
-0.057079	0.000583647	0.0145903
-0.0582371	0.000827843	0.0146715
-0.0585707	0.000561713	0.0149939
-0.0595182	0.000755291	0.0147982
-0.0599728	0.000646515	0.014915
-0.0600233	0.000446381	0.015254
-0.0595596	0.000238814	0.0153315
-0.0590466	0.000331112	0.0153247
-0.0584266	0.000509153	0.0153597
-0.0577683	0.000622394	0.015214
-0.0578456	0.000626264	0.0153776
-0.0582356	0.000577247	0.0154819
-0.0584464	0.000476749	0.0156595
-0.0589547	0.000420672	0.0160145
-0.059695	0.000165943	0.016322
-0.0599664	-1.79228e-05	0.0166362
-0.0595544	-0.000868779	0.0175647
-0.0589131	-0.00151172	0.0178253
-0.0594182	-0.00175513	0.0179798
-0.059718	-0.00193087	0.018134
-0.0604795	-0.00193133	0.0184054
-0.0608557	-0.00194276	0.0184183
-0.0603046	-0.00204738	0.0184427
-0.0606699	-0.00189237	0.0183874
-0.0609282	-0.00177616	0.0186044
-0.0618254	-0.00144492	0.0184101
-0.0626163	-0.00149363	0.0185155
-0.0627106	-0.00156739	0.0185093
-0.0634838	-0.00124466	0.0181326
-0.0636326	-0.000626948	0.0176741
-0.0632305	-0.000372499	0.0175859
-0.0623493	-0.000253522	0.0176067
-0.0627476	-0.000255009	0.0176085
-0.0636515	-3.26047e-05	0.0173887
-0.0648506	0.000314304	0.0172186
-0.0647823	0.00047722	0.0172252
-0.0642816	0.000674157	0.0171087
-0.064203	0.000770772	0.0173942
-0.0645845	0.000782954	0.0175832
-0.0650486	0.000698842	0.0175617
-0.064764	0.000880107	0.016954
-0.0647634	0.000640421	0.0170394
-0.0649639	0.000459373	0.0170671
-0.0654302	0.000329425	0.0173844
-0.0661942	0.00041176	0.0174167
-0.0673585	0.000409128	0.0176428
-0.0670274	6.31832e-05	0.0178941
-0.0670334	-0.000346792	0.0181264
-0.0667874	-0.000527705	0.0181759
-0.0670006	-0.000498266	0.0181752
-0.0666473	-0.000297195	0.0181546
-0.0664333	-0.000188473	0.0182646
-0.0670817	0.000296186	0.0180534
-0.06804	0.000486626	0.0179984
-0.0684973	0.00055955	0.0179748
